,days_since_last_order,median_order_type,days_since_last_contact,monthly_mean_order_vol,yearly_mean_cust_rev,status
9728,2,raw_ingredients,10,813,1206,active
3374,10,raw_ingredients,4,1402,1246,active
884,11,finished_goods,7,635,1479,active
8910,12,raw_ingredients,14,771,809,active
9075,10,raw_ingredients,6,1362,1185,active
9289,14,finished_goods,1,1259,534,active
10177,14,finished_goods,15,606,1126,cancelled
1292,2,raw_ingredients,7,869,868,active
5907,14,raw_ingredients,3,600,1020,active
5998,7,raw_ingredients,10,1253,1458,active
1471,6,raw_ingredients,13,1104,892,active
238,2,raw_ingredients,12,1070,1379,active
6345,12,finished_goods,7,1084,782,active
10298,19,finished_goods,12,666,1139,cancelled
1367,1,finished_goods,9,902,1313,active
10956,15,raw_ingredients,14,1295,437,cancelled
590,14,raw_ingredients,7,875,633,active
4717,5,finished_goods,11,812,832,active
403,13,raw_ingredients,3,571,1115,active
11765,37,finished_goods,35,1076,429,paused
7174,2,raw_ingredients,3,1089,813,active
135,4,finished_goods,14,579,547,active
2007,14,raw_ingredients,10,753,687,active
1686,6,finished_goods,1,1322,750,active
3274,8,raw_ingredients,14,1096,610,active
2783,10,finished_goods,14,994,1254,active
9560,7,finished_goods,7,708,835,active
5858,1,raw_ingredients,12,1157,998,active
5407,1,raw_ingredients,5,646,526,active
11670,19,raw_ingredients,20,462,1289,paused
4274,11,raw_ingredients,2,796,766,active
9739,4,raw_ingredients,3,969,1010,active
8847,12,raw_ingredients,6,833,500,active
985,5,finished_goods,6,981,1185,active
9919,4,finished_goods,9,552,1100,active
5950,4,raw_ingredients,7,1114,851,active
2392,8,raw_ingredients,5,856,596,active
5535,9,raw_ingredients,12,1005,952,active
10000,17,raw_ingredients,7,1146,898,cancelled
7867,12,raw_ingredients,8,1247,514,active
810,6,raw_ingredients,2,1226,1187,active
11545,28,raw_ingredients,9,1243,957,paused
1075,7,finished_goods,6,1045,1043,active
8904,2,raw_ingredients,11,1099,881,active
11773,36,raw_ingredients,38,807,1193,paused
1701,5,raw_ingredients,5,1419,1074,active
6415,14,raw_ingredients,4,1446,974,active
9366,7,finished_goods,4,887,752,active
1335,3,raw_ingredients,2,1234,546,active
10103,9,raw_ingredients,7,1219,834,cancelled
1160,9,raw_ingredients,2,1035,681,active
9584,13,finished_goods,6,926,584,active
4360,3,raw_ingredients,13,1465,756,active
7254,2,finished_goods,4,976,1483,active
4739,10,raw_ingredients,14,833,1453,active
702,8,raw_ingredients,1,1144,1391,active
450,3,finished_goods,5,601,743,active
1512,8,raw_ingredients,12,515,1451,active
3227,5,raw_ingredients,7,1330,506,active
5959,1,finished_goods,12,590,1041,active
8662,2,raw_ingredients,8,1369,754,active
4567,5,raw_ingredients,8,668,605,active
2677,7,raw_ingredients,6,1021,909,active
6834,3,raw_ingredients,8,1302,519,active
4598,14,raw_ingredients,4,1470,637,active
11342,33,raw_ingredients,16,904,1394,paused
2571,8,raw_ingredients,8,659,1186,active
619,2,raw_ingredients,5,1148,819,active
5745,7,raw_ingredients,3,1397,1040,active
3666,10,raw_ingredients,13,928,890,active
9696,3,raw_ingredients,10,1163,1305,active
9694,8,finished_goods,7,1347,1192,active
6861,5,raw_ingredients,1,751,831,active
6151,1,raw_ingredients,6,672,1110,active
4816,14,finished_goods,7,822,1120,active
560,12,raw_ingredients,11,884,1253,active
3444,6,raw_ingredients,12,774,1394,active
5973,11,finished_goods,13,535,1142,active
9599,6,raw_ingredients,10,734,743,active
8229,1,raw_ingredients,4,1208,631,active
11957,35,raw_ingredients,35,954,622,paused
4782,7,finished_goods,14,1478,1436,active
5660,4,raw_ingredients,3,552,856,active
257,13,raw_ingredients,7,1465,1351,active
10210,12,finished_goods,11,1258,1022,cancelled
6247,9,raw_ingredients,6,1073,812,active
2562,7,raw_ingredients,3,1432,798,active
5342,11,raw_ingredients,11,642,673,active
10071,16,finished_goods,15,734,1339,cancelled
273,11,finished_goods,1,1041,801,active
5261,6,raw_ingredients,12,794,705,active
5257,9,raw_ingredients,2,797,1346,active
5534,14,finished_goods,4,1019,1269,active
8694,4,raw_ingredients,7,1282,1144,active
9521,13,raw_ingredients,12,1020,605,active
302,8,raw_ingredients,9,703,574,active
4674,12,finished_goods,12,1115,1045,active
6566,12,raw_ingredients,14,629,648,active
5090,13,raw_ingredients,14,725,511,active
2064,9,finished_goods,8,1452,1367,active
11449,37,finished_goods,20,492,946,paused
9443,6,finished_goods,12,771,921,active
6113,7,raw_ingredients,10,883,965,active
11226,30,finished_goods,26,457,745,paused
5872,13,raw_ingredients,3,537,1025,active
7743,12,raw_ingredients,14,846,907,active
2428,5,raw_ingredients,12,974,1467,active
8052,10,raw_ingredients,14,1230,916,active
140,10,raw_ingredients,7,611,1379,active
9703,13,raw_ingredients,11,1103,632,active
7932,2,raw_ingredients,5,1464,1151,active
479,14,raw_ingredients,5,1131,1117,active
8531,9,raw_ingredients,1,922,978,active
6936,11,raw_ingredients,12,1411,1266,active
996,5,finished_goods,11,1206,738,active
10922,16,finished_goods,7,1131,1274,cancelled
6733,14,raw_ingredients,7,857,956,active
3365,8,raw_ingredients,8,1006,1164,active
1954,2,raw_ingredients,6,524,780,active
8342,5,raw_ingredients,10,1036,724,active
8020,6,raw_ingredients,6,964,617,active
1004,8,raw_ingredients,9,1416,1022,active
3995,10,finished_goods,12,1301,1332,active
5129,1,raw_ingredients,6,1428,550,active
5448,7,raw_ingredients,8,1176,668,active
10942,10,finished_goods,16,952,824,cancelled
8260,3,raw_ingredients,13,1217,1413,active
1443,9,finished_goods,2,673,1368,active
