_TIME_PERIOD,_OBS_VALUE,_OBS_STATUS,_OBS_CONF
1999-01-04,1.1789,A,F
1999-01-05,1.1790,A,F
1999-01-06,1.1743,A,F
1999-01-07,1.1632,A,F
1999-01-08,1.1659,A,F
1999-01-11,1.1569,A,F
1999-01-12,1.1520,A,F
1999-01-13,1.1744,A,F
1999-01-14,1.1653,A,F
1999-01-15,1.1626,A,F
1999-01-18,1.1612,A,F
1999-01-19,1.1616,A,F
1999-01-20,1.1575,A,F
1999-01-21,1.1572,A,F
1999-01-22,1.1567,A,F
1999-01-25,1.1584,A,F
1999-01-26,1.1582,A,F
1999-01-27,1.1529,A,F
1999-01-28,1.1410,A,F
1999-01-29,1.1384,A,F
1999-02-01,1.1338,A,F
1999-02-02,1.1337,A,F
1999-02-03,1.1337,A,F
1999-02-04,1.1263,A,F
1999-02-05,1.1292,A,F
1999-02-08,1.1246,A,F
1999-02-09,1.1333,A,F
1999-02-10,1.1342,A,F
1999-02-11,1.1312,A,F
1999-02-12,1.1244,A,F
1999-02-15,1.1238,A,F
1999-02-16,1.1176,A,F
1999-02-17,1.1253,A,F
1999-02-18,1.1232,A,F
1999-02-19,1.1163,A,F
1999-02-22,1.0992,A,F
1999-02-23,1.0969,A,F
1999-02-24,1.1037,A,F
1999-02-25,1.1031,A,F
1999-02-26,1.1018,A,F
1999-03-01,1.0986,A,F
1999-03-02,1.0887,A,F
1999-03-03,1.0899,A,F
1999-03-04,1.0866,A,F
1999-03-05,1.0834,A,F
1999-03-08,1.0908,A,F
1999-03-09,1.0863,A,F
1999-03-10,1.0953,A,F
1999-03-11,1.0891,A,F
1999-03-12,1.0932,A,F
1999-03-15,1.0949,A,F
1999-03-16,1.0901,A,F
1999-03-17,1.0966,A,F
1999-03-18,1.1012,A,F
1999-03-19,1.0915,A,F
1999-03-22,1.0864,A,F
1999-03-23,1.0896,A,F
1999-03-24,1.0928,A,F
1999-03-25,1.0898,A,F
1999-03-26,1.0815,A,F
1999-03-29,1.0692,A,F
1999-03-30,1.0711,A,F
1999-03-31,1.0742,A,F
1999-04-01,1.0772,A,F
1999-04-02,1.0772,A,F
1999-04-05,1.0752,A,F
1999-04-06,1.0726,A,F
1999-04-07,1.0812,A,F
1999-04-08,1.0818,A,F
1999-04-09,1.0778,A,F
1999-04-12,1.0867,A,F
1999-04-13,1.0765,A,F
1999-04-14,1.0787,A,F
1999-04-15,1.0786,A,F
1999-04-16,1.0668,A,F
1999-04-19,1.0636,A,F
1999-04-20,1.0646,A,F
1999-04-21,1.0586,A,F
