,omni_inc,omni_inc,omni_inc,omni_inc,omni_inc,megacorp,megacorp,megacorp,megacorp,megacorp
date,cocoa,hazelnut,milkpowder,sugar,vanilla,cocoa,hazelnut,milkpowder,sugar,vanilla
01/01/2020,14.2,17,2.2,0.5,380.56,11.91,15.8,3.16,2.5304,373.9488
02/01/2020,18.3,18.2,2.4,0.52,381.34,12.02,15.9,4.34,2.5508,374.7132
03/01/2020,17.4,18.4,2.6,0.54,382.12,17.13,16,4.52,1.5712,376.4776
04/01/2020,12.5,18.6,2.8,0.56,382.9,13.24,16.1,3.7,1.5916,377.242
05/01/2020,16.6,17.8,3,0.58,383.68,17.35,16.2,3.88,1.612,378.0064
06/01/2020,,18,3.2,0.6,384.46,15.46,16.3,5.06,2.6324,377.7708
07/01/2020,13.8,19.2,3.4,0.62,385.24,16.57,16.4,4.24,2.6528,378.5352
08/01/2020,13.9,18.4,3.6,0.64,386.02,17.68,16.5,4.42,2.6426,379.2996
09/01/2020,18,19.6,3.8,0.63,386.8,14.79,16.6,4.6,1.6324,381.064
10/01/2020,14.1,18.8,4,0.62,387.58,12.9,16.7,4.555,2.6222,380.8284
11/01/2020,13.2,20,3.95,0.61,388.36,19.01,16.8,4.51,2.612,382.5928
12/01/2020,16.3,19.2,3.9,0.6,389.14,16.12,16.9,4.46500000000001,2.6018,382.3572
01/01/2021,17.4,20.4,3.85000000000001,0.59,389.92,19.23,17,5.42000000000001,1.5916,383.1216
02/01/2021,15.5,20.6,3.80000000000001,0.58,390.7,17.34,17.1,5.37500000000001,1.5814,383.886
03/01/2021,13.6,19.8,3.75000000000001,0.57,391.48,16.45,17.2,4.33000000000001,2.5712,385.6504
04/01/2021,14.7,21,3.70000000000001,0.56,392.26,,17.3,4.28500000000002,1.561,386.4148
05/01/2021,15.8,21.2,3.65000000000002,0.55,393.04,19.67,17.4,5.24000000000002,2.5508,387.1792
06/01/2021,17.9,20.4,3.60000000000002,0.54,,15.78,17.5,5.19500000000002,1.5406,386.4148
07/01/2021,15,20.6,3.55000000000002,0.53,392.5,18.89,17.6,5.15000000000002,1.5304,385.65
08/01/2021,18.1,20.8,3.50000000000003,0.52,391.18,15,17.7,5.10500000000003,2.5202,384.3564
09/01/2021,17.2,22,3.45000000000003,0.51,389.86,16.11,17.8,4.06000000000003,1.5304,384.0628
10/01/2021,16.3,21.2,3.40000000000003,0.52,388.54,14.22,17.9,4.01500000000003,2.5406,382.7692
11/01/2021,18.4,22.4,3.35000000000003,0.53,387.22,17.33,18,3.97000000000003,2.5508,381.4756
12/01/2021,16.5,21.6,3.30000000000004,0.54,385.9,16.44,18.1,4.92500000000004,1.561,379.182
01/01/2022,15.6,21.8,3.25000000000004,0.55,384.58,15.55,18.2,3.88000000000004,,377.8884
02/01/2022,15.7,23,3.20000000000004,0.56,384.7,14.66,18.3,3.83500000000004,2.5814,378.006
03/01/2022,19.8,23.2,3.15000000000004,0.57,384.82,19.77,18.4,4.79000000000004,2.5916,379.1236
04/01/2022,19.9,23.4,3.10000000000005,0.58,384.94,18.88,18.5,3.74500000000005,2.6018,378.2412
05/01/2022,17,22.6,3.05000000000005,0.59,385.06,19.99,18.6,4.70000000000005,1.612,379.3588
06/01/2022,21.1,22.8,3.00000000000005,0.6,385.18,17.1,18.7,4.65500000000005,2.6222,379.4764
07/01/2022,19.2,23,2.95000000000006,0.61,385.3,20.21,18.8,3.7,1.6324,378.594
08/01/2022,19.3,24.2,,0.62,385.42,18.32,18.9,3.74499999999995,2.6426,378.2412
09/01/2022,20.4,23.4,3.04999999999994,0.63,385.54,16.43,19,3.7899999999999,2.6528,379.8292
10/01/2022,19.5,24.6,3.09999999999989,0.64,385.66,21.54,19.1,3.83499999999985,2.663,378.9468
11/01/2022,17.6,23.8,3.14999999999983,0.65,385.78,16.65,19.2,3.8799999999998,2.6732,379.0644
12/01/2022,19.7,24,3.19999999999978,0.66,385.9,17.34,19.3,2,1,379.182
